,en,ru
0,"Needless to say, when it's kluged together like this, there were a lot of trials and tribulations getting this working.","Понятно, что когда все было собрано вот так, потребовалось пройти много испытаний и злоключений, чтобы заставить это работать."
1,Public agenda did a survey for us a couple of years ago where they found that 43 percent of the high school teachers in America say that they spend at least half of their time maintaining order in the classroom.,"Фонд общественного мнения ""Public Agenda"" пару лет назад сделали для нас опрос, где выяснилось, что 43 процента учителей в старших школах в Америке говорят, что минимум половина учебного времени у них уходит на поддержание порядка в классе."
2,It can be that people don't want to associate with anyone who won't or can't fit themselves into a box that's labeled normal.,"Бывает, что люди не хотят сближаться с тем, кто не хочет или не может уложиться в коробку с этикеткой « нормальный »."
3,"Let us free ourselves — especially in the West — from thinking about that part of the world based on oil interest, or based on interests of the illusion of stability and security.","Давайте освободимся - особенно на Западе- от стереотипов, представляя эту часть мира как зависящую от нефтяной конъюнктуры или живущую в иллюзиях стабильности и безопасности."
4,They are recruiting hackers both before and after they become involved in criminal and industrial espionage activities — are mobilizing them on behalf of the state.,Они нанимают хакеров до и после их вовлечения в криминал и промышленный шпионаж — их призывают на службу от имени государства.
5,"Now, we thought those data were so powerful, in a way, that we wanted to see what happened in the first six months of life, because if you interact with a two- and a three-month-old, you'd be surprised by how social those babies are.","Нам показалось, что эти данные так важны, что мы решили посмотреть, что произойдёт в первые шесть месяцев жизни, потому что если вы взаимодействуете с трёхмесячным младенцем, вы удивитесь, насколько они общительны."
6,"There are many cases, some of which I talk about in the book, of people who have been slandered, called Nazis, physically assaulted, threatened with criminal prosecution for stumbling across or arguing about controversial findings.","Есть много случаев, некоторые из которых я описываю в книге, когда люди были оклеветаны, названы нацистами, подвергались физическому насилию или уголовному преследованию за то, что они натолкнулись или отстаивают спорные открытия."
7,"Now, this is an image that we shot a couple of weeks ago for today, and you'll notice, on the edge of this image, there's some dark spots there, which was really concerning to me.","Эту картинку мы сняли пару недель назад, и как вы заметили, с краю на этой картинке есть тёмные пятна, которые меня беспокоят."
8,I was the type and the kind of religious where kids kill themselves every single year because they're terrified of coming out to our community as gay.,"Я принадлежала к религии, где каждый год молодые люди кончают жизнь самоубийством из-за страха, что их гомосексуальность будет обнаружена общиной."
9,"The challenge now, of course, is doing this on the scale needed right across these three countries, and that is a huge challenge.","Сейчас у нас другая задача — обеспечить эти условия в нужном масштабе на территории всех трёх стран, и это будет непросто."
10,It is the responsibility of everybody because it will determine what kind of planet and what kind of bodies we will have in the future.,"Это ответственность каждого, потому что речь идет о том, какая планета и какие существа ждут нас в будущем."
11,"It was really hard for me to find my voice, because I never felt I was enough — never Chinese, Dutch-Indonesian or Native enough.","Мне было сложно услышать свой собственный голос, потому что я не знала, кто я — китаянка, голландка, индонезийка или индианка."
12,"And liver will regenerate in this very nice way, but actually if we think of other tissues, like cartilage, for example, even the simplest nick and you're going to find it really difficult to regenerate your cartilage.","Если мы рассмотрим другие ткани, например, хрящ, то даже самая простая трещина затруднит ваши действия по восстановлению хряща."
13,What we learn with these students — these students have multiple disabilities and coping strategies that will be accommodated — what we learn with these students will directly impact the way things are being done at the professional level.,"Чему мы учимся с этими студентами — у них множественная инвалидность и разные методы адаптации, которые мы учитываем, — то, чему мы учимся с ними, будет непосредственно влиять на будущее положение дел на профессиональном уровне."
14,"It's what Coleridge called the willing suspension of disbelief or poetic faith, for those moments where a story, no matter how strange, has some semblance of the truth, and then you're able to believe it.","Это то, что Кольридж назвал отстранением от неверия или поэтической верой, в те моменты, когда история, даже очень странная, в какой-то степени похожа на правду, и тогда в неё получается поверить."
15,"And then we were able to test them rigorously, in random-assignment, placebo-controlled designs, throw out the things that didn't work, keep the things that actively did.",С помощью случайного распределения индифферентных факторов среди контрольных групп удалось отказаться от недейственных методов и оставить эффективные.
16,"When I did that, I had to use my bicep to get the hand to close, use my tricep to get it to open, cocontract again to get the elbow to work again.","После этого нужно было напрячь бицепс, чтобы сжать руку в кулак или трицепс, чтобы раскрыть кисть, снова сжать мышцы, чтобы заработал локоть."
17,"And of course the bear left, so what that teaches us is obstacles are to be expected and we can choose to surrender or we can stand and fight.","Конечно, медведь ушёл, и это учит нас, что несмотря на препятствия, мы можем решить сдаться или мы можем встать и сражаться."
