BLEU,LAAL,AL,AP,DAL,ATD
20.649,1935.292,1331.935,0.877,3057.623,2219.062
20.246,1964.43,1417.085,0.911,2956.544,2241.838
20.069,2028.06,1291.844,0.91,3103.058,2290.714
20.685,1994.152,1379.581,0.911,2993.029,2243.571
22.797,2139.556,1582.657,0.889,3167.598,2530.314
18.237,1959.559,1321.234,0.919,2995.561,2179.923
21.649,1984.818,1372.855,0.907,3060.298,2185.207
22.188,1958.487,1405.528,0.878,3045.074,2178.381
22.839,1966.155,1378.824,0.893,2931.49,2148.162
21.486,2123.369,1491.716,0.899,3351.267,2396.139
